tx_id,user_id,date,region,merchant,amount,label
200045,U2344,2024-01-01,West,Electronics,5,0
200046,U2346,2024-01-01,South,Electronics,92.95,0
200047,U2024,2024-01-01,North,Electronics,86.59,0
200048,U2350,2024-01-01,East,StoreB,36.65,0
200049,U2407,2024-01-01,West,CafeX,27.56,0
200050,U2392,2024-01-01,East,StoreA,56.4,0
200051,U2478,2024-01-01,South,StoreB,17.73,0
200052,U2011,2024-01-01,West,Grocery,103.67,0
200053,U2139,2024-01-01,East,RideShare,13.43,0
200054,U2086,2024-01-01,West,TravelCo,77.13,0
200055,U2029,2024-01-01,West,RideShare,115.95,0
200056,U2214,2024-01-01,North,Grocery,50.6,0
200057,U2019,2024-01-01,South,Pharmacy,108.2,0
200058,U2465,2024-01-01,South,Pharmacy,35.4,0
200059,U2131,2024-01-01,East,RideShare,81.91,0
200060,U2064,2024-01-01,West,RideShare,16.33,0
200061,U2140,2024-01-01,East,OnlineShop,5,0
200062,U2306,2024-01-01,West,TravelCo,176.47,0
200063,U2035,2024-01-01,South,StoreB,83.96,0
200064,U2386,2024-01-01,East,OnlineShop,102.97,0
200065,U2340,2024-01-01,North,TravelCo,79.83,0
200066,U2409,2024-01-01,West,Grocery,17.73,0
200067,U2180,2024-01-01,East,TravelCo,103.26,0
200068,U2160,2024-01-01,East,Pharmacy,111.93,0
200069,U2030,2024-01-01,South,Pharmacy,73.77,0
200070,U2261,2024-01-01,South,OnlineShop,44.98,0
200071,U2071,2024-01-01,East,OnlineShop,5,0
200072,U2383,2024-01-01,South,CafeX,45.51,0
200073,U2352,2024-01-01,South,Electronics,125.7,0
200074,U2232,2024-01-01,South,Grocery,59.24,0
200075,U2262,2024-01-01,West,Grocery,138.53,0
200076,U2459,2024-01-01,West,TravelCo,146.04,0
200077,U2006,2024-01-01,South,Grocery,5,0
200078,U2439,2024-01-01,South,StoreB,70.01,0
200079,U2377,2024-01-01,South,StoreB,13.15,0
200080,U2385,2024-01-01,East,CafeX,84.14,0
200081,U2033,2024-01-01,East,CafeX,144.53,0
200082,U2121,2024-01-01,West,Electronics,122.77,0
200083,U2152,2024-01-01,North,StoreB,5,0
200084,U2049,2024-01-01,East,CafeX,57.28,0
200085,U2332,2024-01-01,East,StoreB,89.13,0
200086,U2166,2024-01-01,West,TravelCo,74.46,0
200087,U2267,2024-01-01,South,OnlineShop,5,0
200088,U2364,2024-01-01,North,CafeX,992.7,0
200089,U2373,2024-01-01,East,RideShare,43.84,0
200090,U2251,2024-01-01,West,CafeX,5,0
200091,U2147,2024-01-01,East,OnlineShop,23.27,0
200092,U2495,2024-01-01,East,Electronics,79.6,0
200093,U2102,2024-01-01,North,StoreA,10.88,0
200094,U2237,2024-01-01,West,Electronics,96.27,0
200095,U2040,2024-01-01,West,Grocery,5,0
200096,U2281,2024-01-01,North,StoreA,64.78,0
200097,U2122,2024-01-01,East,Electronics,53.87,0
200098,U2142,2024-01-01,South,CafeX,69.63,0
200099,U2228,2024-01-01,South,CafeX,30.16,0
200100,U2306,2024-01-01,East,TravelCo,40.02,0
200101,U2018,2024-01-01,North,StoreA,67.38,0
200102,U2460,2024-01-01,North,Grocery,109.93,0
200103,U2343,2024-01-01,West,Electronics,19.02,0
200104,U2395,2024-01-01,South,StoreB,51.17,0
200105,U2173,2024-01-01,East,CafeX,49.5,0
200106,U2060,2024-01-01,North,StoreB,91.55,0
200107,U2343,2024-01-01,South,OnlineShop,73.23,0
200108,U2052,2024-01-01,West,Pharmacy,84.97,0
200109,U2444,2024-01-01,East,StoreB,82.1,0
200110,U2228,2024-01-01,North,StoreB,74.5,0
200111,U2038,2024-01-01,East,TravelCo,93.56,0
200112,U2062,2024-01-01,East,StoreA,32.7,0
200113,U2444,2024-01-01,West,RideShare,97.12,0
200114,U2334,2024-01-01,South,Pharmacy,115.89,0
200115,U2330,2024-01-01,East,Pharmacy,111.73,0
200116,U2127,2024-01-01,South,StoreA,5,0
200117,U2232,2024-01-01,North,Pharmacy,126.8,0
200118,U2200,2024-01-01,East,StoreB,38.22,0
200119,U2386,2024-01-01,West,Pharmacy,69.04,0
200120,U2180,2024-01-01,North,CafeX,115.86,0
200121,U2184,2024-01-01,North,Grocery,98.63,0
200122,U2068,2024-01-01,South,TravelCo,70.32,0
200123,U2430,2024-01-01,North,OnlineShop,42.39,0
200124,U2342,2024-01-01,West,OnlineShop,53.33,0
200125,U2414,2024-01-01,East,RideShare,123.36,0
200126,U2047,2024-01-01,West,TravelCo,11.96,0
200127,U2441,2024-01-01,South,Pharmacy,59.07,0
200128,U2237,2024-01-01,North,Pharmacy,33.31,0
200129,U2153,2024-01-01,East,OnlineShop,117.6,0
200130,U2181,2024-01-01,West,StoreA,8.79,0
200131,U2321,2024-01-01,West,TravelCo,5,0
200132,U2037,2024-01-01,East,TravelCo,14.31,0
200133,U2190,2024-01-01,North,StoreA,64.37,0
200134,U2043,2024-01-01,East,RideShare,73.89,0
200135,U2208,2024-01-01,East,CafeX,5,0
200136,U2054,2024-01-01,North,RideShare,119.69,0
200137,U2317,2024-01-01,West,OnlineShop,98.3,0
200138,U2272,2024-01-01,North,Pharmacy,86.5,0
200139,U2331,2024-01-01,North,Pharmacy,78.06,0
200140,U2143,2024-01-01,South,StoreA,179.66,0
200141,U2374,2024-01-01,East,Electronics,87.5,0
200142,U2284,2024-01-01,South,TravelCo,29.02,0
200143,U2319,2024-01-01,West,CafeX,83.07,0
200144,U2225,2024-01-01,South,Pharmacy,108.82,0
200145,U2446,2024-01-01,East,RideShare,107.8,0
200146,U2237,2024-01-01,North,Grocery,19.32,0
200147,U2261,2024-01-01,East,Pharmacy,47.37,0
200148,U2210,2024-01-01,South,TravelCo,106.42,0
200149,U2013,2024-01-01,North,StoreA,100.84,0
200150,U2191,2024-01-01,East,OnlineShop,5,0
200151,U2247,2024-01-01,South,StoreA,84.73,0
200152,U2194,2024-01-01,South,OnlineShop,87.74,0
200153,U2425,2024-01-01,South,OnlineShop,60.09,0
200154,U2253,2024-01-01,East,Pharmacy,25.36,0
200155,U2405,2024-01-01,East,OnlineShop,5,0
200156,U2406,2024-01-01,East,Pharmacy,73.39,0
200157,U2439,2024-01-01,East,OnlineShop,48.29,0
200158,U2116,2024-01-01,South,RideShare,38.67,0
200159,U2182,2024-01-01,West,StoreA,82.23,0
200160,U2056,2024-01-01,South,StoreA,13.27,0
200161,U2182,2024-01-01,West,Electronics,123.12,0
200162,U2090,2024-01-01,East,OnlineShop,63.67,0
200163,U2303,2024-01-01,East,CafeX,42.72,0
200164,U2067,2024-01-01,South,Grocery,71.77,0
200165,U2005,2024-01-01,North,TravelCo,21.21,0
200166,U2361,2024-01-01,North,Grocery,110.63,0
200167,U2239,2024-01-01,East,Grocery,58.53,0
200168,U2143,2024-01-01,South,TravelCo,54.05,0
200169,U2208,2024-01-01,East,StoreA,165.92,0
200170,U2413,2024-01-01,West,StoreA,75.11,0
200171,U2462,2024-01-01,South,CafeX,11.4,0
200172,U2114,2024-01-01,South,Grocery,54.38,0
200173,U2124,2024-01-01,North,StoreB,5,0
200174,U2211,2024-01-01,South,CafeX,91.27,0
200175,U2391,2024-01-01,West,CafeX,110.7,0
200176,U2355,2024-01-01,East,StoreA,97.55,0
200177,U2263,2024-01-01,North,Pharmacy,65.14,0
200178,U2229,2024-01-01,West,Electronics,103.48,0
200179,U2184,2024-01-01,South,StoreB,5,0
200180,U2276,2024-01-01,South,StoreA,74.79,0
200181,U2198,2024-01-01,West,StoreB,5,0
200182,U2374,2024-01-01,South,CafeX,99.05,0
200183,U2197,2024-01-01,North,Pharmacy,75.38,0
200184,U2047,2024-01-01,North,Grocery,73.97,0
200185,U2087,2024-01-01,South,Electronics,7.0,0
200186,U2402,2024-01-01,South,Pharmacy,26.93,0
200187,U2229,2024-01-01,North,StoreA,76.05,0
200188,U2011,2024-01-01,East,TravelCo,5,0
200189,U2448,2024-01-01,West,StoreB,153.02,0
200190,U2281,2024-01-01,North,CafeX,20.87,0
200191,U2395,2024-01-01,West,StoreA,24.17,0
200192,U2480,2024-01-01,East,Electronics,5,0
200193,U2147,2024-01-01,North,Electronics,38.46,0
200194,U2321,2024-01-01,North,OnlineShop,101.58,0
200195,U2220,2024-01-01,West,StoreB,95.66,0
200196,U2357,2024-01-01,North,RideShare,21.64,0
200197,U2282,2024-01-01,West,Grocery,82.14,0
200198,U2017,2024-01-01,West,Grocery,118.11,0
200199,U2484,2024-01-01,South,Electronics,131.81,0
200200,U2105,2024-01-01,North,OnlineShop,38.94,0
200201,U2330,2024-01-01,East,StoreA,58.15,0
200202,U2165,2024-01-01,West,Pharmacy,131.18,0
200203,U2071,2024-01-01,North,StoreB,112.62,0
200204,U2358,2024-01-01,North,StoreA,65.18,0
200205,U2396,2024-01-01,South,RideShare,18.66,0
200206,U2497,2024-01-01,West,Grocery,140.5,0
200207,U2349,2024-01-01,North,Electronics,79.0,0
200208,U2079,2024-01-01,North,CafeX,78.22,0
200209,U2081,2024-01-01,West,Pharmacy,46.48,0
200210,U2364,2024-01-01,West,OnlineShop,95.41,0
200211,U2261,2024-01-01,North,StoreA,32.33,0
200212,U2107,2024-01-01,West,Grocery,124.29,0
200213,U2376,2024-01-01,North,RideShare,68.69,0
200214,U2161,2024-01-01,South,CafeX,96.86,0
200215,U2199,2024-01-01,West,TravelCo,112.15,0
200216,U2130,2024-01-01,North,Pharmacy,10.42,0
200217,U2406,2024-01-01,West,RideShare,36.48,0
200218,U2051,2024-01-01,West,OnlineShop,5,0
200219,U2064,2024-01-01,West,RideShare,75.24,0
200220,U2395,2024-01-01,South,StoreA,40.47,0
200221,U2154,2024-01-01,East,Pharmacy,87.75,0
200222,U2072,2024-01-01,South,RideShare,68.34,0
200223,U2430,2024-01-01,South,TravelCo,75.08,0
200224,U2070,2024-01-01,South,Grocery,61.76,0
200225,U2428,2024-01-01,West,Electronics,45.21,0
200226,U2058,2024-01-01,South,TravelCo,81.51,0
200227,U2486,2024-01-01,East,Grocery,80.06,0
200228,U2007,2024-01-01,East,RideShare,72.53,0
200229,U2328,2024-01-01,East,Electronics,86.36,0
200230,U2323,2024-01-01,South,Pharmacy,88.34,0
200231,U2070,2024-01-01,West,RideShare,67.89,0
200232,U2217,2024-01-01,East,Grocery,5,0
200233,U2068,2024-01-01,West,CafeX,19.08,0
200234,U2382,2024-01-01,South,Electronics,93.11,0
200235,U2436,2024-01-01,East,StoreB,23.84,0
200236,U2450,2024-01-01,North,Pharmacy,123.98,0
200237,U2059,2024-01-01,North,OnlineShop,68.86,0
200238,U2253,2024-01-01,West,TravelCo,5,0
200239,U2152,2024-01-01,South,RideShare,111.82,0
200240,U2204,2024-01-01,East,OnlineShop,8.96,0
200241,U2034,2024-01-01,South,TravelCo,69.0,0
200242,U2280,2024-01-01,West,StoreB,44.93,0
200243,U2225,2024-01-01,North,Grocery,5,0
200244,U2367,2024-01-01,West,OnlineShop,5,0
200245,U2254,2024-01-01,North,StoreB,58.28,0
200246,U2318,2024-01-01,West,CafeX,5,0
200247,U2038,2024-01-01,North,RideShare,105.08,0
200248,U2342,2024-01-01,West,Grocery,156.41,0
200249,U2480,2024-01-01,North,TravelCo,95.62,0
200250,U2081,2024-01-01,North,Grocery,68.77,0
200251,U2212,2024-01-01,South,TravelCo,81.52,0
200252,U2177,2024-01-01,South,CafeX,74.9,0
200253,U2031,2024-01-01,West,OnlineShop,107.71,0
200254,U2160,2024-01-01,South,StoreA,23.01,0
200255,U2338,2024-01-01,West,StoreB,78.32,0
200256,U2217,2024-01-01,North,TravelCo,97.09,0
200257,U2131,2024-01-01,South,TravelCo,5,0
200258,U2135,2024-01-01,East,Pharmacy,89.72,0
200259,U2002,2024-01-01,West,CafeX,55.1,0
200260,U2461,2024-01-01,North,RideShare,66.39,0
200261,U2218,2024-01-01,West,CafeX,16.12,0
200262,U2318,2024-01-01,West,CafeX,121.77,0
200263,U2380,2024-01-01,West,Pharmacy,91.79,0
200264,U2447,2024-01-01,North,StoreB,124.15,0
200265,U2072,2024-01-01,South,OnlineShop,5,0
200266,U2331,2024-01-01,East,TravelCo,85.29,0
200267,U2212,2024-01-01,East,StoreB,9.4,0
200268,U2138,2024-01-01,West,Grocery,5,0
200269,U2059,2024-01-01,South,Grocery,135.02,0
200270,U2225,2024-01-01,East,TravelCo,95.87,0
200271,U2038,2024-01-01,West,StoreA,24.47,0
200272,U2234,2024-01-01,North,OnlineShop,119.62,0
200273,U2442,2024-01-01,East,Grocery,37.69,0
200274,U2421,2024-01-01,West,TravelCo,95.31,0
200275,U2379,2024-01-01,North,StoreA,43.89,0
200276,U2483,2024-01-01,North,Pharmacy,5,0
200277,U2447,2024-01-01,West,StoreA,88.49,0
200278,U2094,2024-01-01,East,CafeX,74.22,0
200279,U2412,2024-01-01,North,Electronics,136.64,0
200280,U2115,2024-01-01,East,TravelCo,95.95,0
200281,U2492,2024-01-01,West,Grocery,24.65,0
200282,U2126,2024-01-01,East,TravelCo,39.87,0
200283,U2118,2024-01-01,West,TravelCo,87.08,0
200284,U2455,2024-01-01,South,OnlineShop,101.07,0
200285,U2259,2024-01-01,East,Grocery,42.12,0
200286,U2281,2024-01-01,North,Pharmacy,5,0
200287,U2235,2024-01-01,East,StoreA,5.63,0
200288,U2311,2024-01-01,South,StoreA,86.77,0
200289,U2056,2024-01-01,West,Electronics,57.63,0
200290,U2333,2024-01-01,West,OnlineShop,17.76,0
200291,U2064,2024-01-01,South,Pharmacy,16.15,0
200292,U2482,2024-01-01,North,Electronics,100.93,0
200293,U2441,2024-01-01,North,StoreB,108.59,0
200294,U2310,2024-01-01,North,Pharmacy,88.44,0
200295,U2068,2024-01-01,West,OnlineShop,124.66,0
200296,U2139,2024-01-01,West,Pharmacy,125.36,0
200297,U2364,2024-01-01,North,Electronics,17.47,0
200298,U2134,2024-01-01,South,TravelCo,115.88,0
200299,U2453,2024-01-01,East,StoreA,106.01,0
200300,U2465,2024-01-01,West,CafeX,81.77,0
200301,U2383,2024-01-01,South,TravelCo,132.46,0
200302,U2348,2024-01-01,South,CafeX,89.43,0
200303,U2241,2024-01-01,West,Grocery,43.1,0
200304,U2444,2024-01-01,East,TravelCo,129.07,0
200305,U2486,2024-01-01,East,TravelCo,131.47,0
200306,U2404,2024-01-01,North,CafeX,29.85,0
200307,U2337,2024-01-01,South,Pharmacy,71.87,0
200308,U2485,2024-01-01,East,Grocery,99.14,0
200309,U2448,2024-01-01,North,OnlineShop,138.78,0
200310,U2476,2024-01-01,South,RideShare,121.32,0
200311,U2235,2024-01-01,North,StoreB,134.11,0
200312,U2176,2024-01-01,East,Pharmacy,113.53,0
200313,U2005,2024-01-01,West,OnlineShop,5,0
200314,U2121,2024-01-01,South,OnlineShop,40.92,0
200315,U2020,2024-01-01,West,Electronics,55.17,0
200316,U2125,2024-01-01,South,StoreA,189.29,0
200317,U2310,2024-01-01,North,TravelCo,37.43,0
200318,U2291,2024-01-01,West,Electronics,13.05,0
200319,U2407,2024-01-01,North,TravelCo,5,0
200320,U2320,2024-01-01,South,Pharmacy,22.45,0
200321,U2130,2024-01-01,South,TravelCo,52.35,0
200322,U2272,2024-01-01,North,RideShare,59.01,0
200323,U2256,2024-01-01,West,StoreA,5,0
200324,U2460,2024-01-01,East,CafeX,75.62,0
200325,U2420,2024-01-01,East,OnlineShop,79.71,0
200326,U2076,2024-01-01,West,TravelCo,62.84,0
200327,U2052,2024-01-01,East,OnlineShop,5,0
200328,U2097,2024-01-01,South,StoreB,25.08,0
200329,U2496,2024-01-01,West,Pharmacy,107.03,0
200330,U2347,2024-01-01,North,TravelCo,5,0
200331,U2408,2024-01-01,East,StoreB,114.06,0
200332,U2253,2024-01-01,South,RideShare,46.63,0
200333,U2175,2024-01-01,West,StoreB,40.23,0
200334,U2175,2024-01-01,North,StoreB,104.37,0
200335,U2426,2024-01-01,South,StoreB,40.01,0
200336,U2266,2024-01-01,South,Electronics,131.06,0
200337,U2485,2024-01-01,West,CafeX,174.4,0
200338,U2457,2024-01-01,North,CafeX,105.36,0
200339,U2472,2024-01-01,North,RideShare,116.49,0
200340,U2016,2024-01-01,West,StoreA,104.8,0
200341,U2417,2024-01-01,East,RideShare,77.37,0
200342,U2453,2024-01-01,North,OnlineShop,20.2,0
200343,U2247,2024-01-01,West,RideShare,147.01,0
200344,U2303,2024-01-01,West,StoreB,76.97,0
200345,U2374,2024-01-01,West,OnlineShop,35.25,0
200346,U2040,2024-01-01,East,OnlineShop,190.69,0
200347,U2475,2024-01-01,North,Electronics,110.28,0
200348,U2414,2024-01-01,North,Pharmacy,90.21,0
200349,U2020,2024-01-01,West,CafeX,132.47,0
200350,U2171,2024-01-01,East,StoreA,60.77,0
200351,U2478,2024-01-01,West,Electronics,34.09,0
200352,U2161,2024-01-01,South,OnlineShop,71.06,0
200353,U2213,2024-01-01,West,CafeX,108.58,0
200354,U2491,2024-01-01,East,Grocery,53.02,0
200355,U2125,2024-01-01,East,Grocery,41.81,0
200356,U2077,2024-01-01,West,StoreB,78.31,0
200357,U2102,2024-01-01,East,Electronics,27.24,0
200358,U2150,2024-01-01,East,StoreB,120.11,0
200359,U2021,2024-01-01,West,StoreA,26.18,0
200360,U2090,2024-01-01,North,StoreA,130.9,0
200361,U2015,2024-01-01,North,RideShare,35.63,0
200362,U2458,2024-01-01,West,Pharmacy,127.78,0
200363,U2003,2024-01-01,South,StoreB,123.41,0
200364,U2306,2024-01-01,East,StoreB,27.04,0
200365,U2065,2024-01-01,South,CafeX,62.14,0
200366,U2115,2024-01-01,North,CafeX,6.73,0
200367,U2037,2024-01-01,South,StoreB,14.95,0
200368,U2173,2024-01-01,East,Electronics,6.12,0
200369,U2114,2024-01-01,West,Pharmacy,72.92,0
200370,U2157,2024-01-01,East,CafeX,19.74,0
200371,U2170,2024-01-01,South,Pharmacy,43.66,0
200372,U2146,2024-01-01,North,RideShare,5,0
200373,U2451,2024-01-01,North,Pharmacy,95.01,0
200374,U2160,2024-01-01,West,CafeX,105.15,0
200375,U2323,2024-01-01,North,OnlineShop,88.63,0
200376,U2386,2024-01-01,South,RideShare,128.06,0
200377,U2307,2024-01-01,East,StoreA,142.54,0
200378,U2130,2024-01-01,East,StoreB,16.95,0
200379,U2228,2024-01-01,East,RideShare,67.37,0
200380,U2232,2024-01-01,West,Pharmacy,39.16,0
200381,U2480,2024-01-01,West,CafeX,144.23,0
200382,U2011,2024-01-01,North,Electronics,138.36,0
200383,U2336,2024-01-01,North,StoreB,54.17,0
200384,U2121,2024-01-01,East,RideShare,155.66,0
200385,U2054,2024-01-01,West,OnlineShop,23.33,0
200386,U2475,2024-01-01,East,Pharmacy,53.89,0
200387,U2198,2024-01-01,East,Grocery,61.39,0
200388,U2232,2024-01-01,East,CafeX,94.11,0
200389,U2205,2024-01-01,East,CafeX,46.4,0
200390,U2186,2024-01-01,West,StoreA,36.57,0
200391,U2160,2024-01-01,North,Pharmacy,5,0
200392,U2059,2024-01-01,South,StoreB,136.97,0
200393,U2356,2024-01-01,West,OnlineShop,38.56,0
200394,U2098,2024-01-01,West,Grocery,56.52,0
200395,U2033,2024-01-01,East,StoreA,42.96,0
200396,U2221,2024-01-01,East,RideShare,97.58,0
200397,U2149,2024-01-01,North,TravelCo,41.1,0
200398,U2196,2024-01-01,East,OnlineShop,808.89,0
200399,U2106,2024-01-01,South,OnlineShop,109.97,0
200400,U2221,2024-01-01,West,RideShare,106.14,0
200401,U2281,2024-01-01,North,StoreA,26.31,0
200402,U2073,2024-01-01,East,OnlineShop,134.27,0
200403,U2440,2024-01-01,East,StoreA,169.55,0
200404,U2333,2024-01-01,East,StoreB,111.23,0
200405,U2431,2024-01-01,West,CafeX,35.66,0
200406,U2035,2024-01-01,North,Pharmacy,37.4,0
200407,U2158,2024-01-01,South,Pharmacy,97.97,0
200408,U2304,2024-01-01,West,Electronics,5,0
200409,U2264,2024-01-01,North,OnlineShop,52.54,0
200410,U2167,2024-01-01,West,Pharmacy,89.31,0
200411,U2495,2024-01-01,South,RideShare,58.4,0
200412,U2005,2024-01-01,North,TravelCo,17.01,0
200413,U2374,2024-01-01,South,StoreA,115.25,0
200414,U2364,2024-01-01,South,Pharmacy,165.63,0
200415,U2207,2024-01-01,East,Grocery,99.25,0
200416,U2127,2024-01-01,South,Grocery,34.38,0
200417,U2321,2024-01-01,East,StoreB,82.73,0
200418,U2071,2024-01-01,South,Grocery,5.78,0
200419,U2117,2024-01-01,East,RideShare,106.63,0
200420,U2172,2024-01-01,South,CafeX,106.89,0
200421,U2242,2024-01-01,West,TravelCo,71.83,0
200422,U2468,2024-01-01,West,OnlineShop,110.97,0
200423,U2261,2024-01-01,North,Grocery,90.12,0
200424,U2127,2024-01-01,North,StoreB,68.92,0
200425,U2103,2024-01-01,West,CafeX,20.74,0
200426,U2396,2024-01-01,West,OnlineShop,67.12,0
200427,U2267,2024-01-01,South,CafeX,47.0,0
200428,U2070,2024-01-01,North,RideShare,118.7,0
200429,U2451,2024-01-01,South,Electronics,5,0
200430,U2287,2024-01-01,West,Grocery,124.52,0
200431,U2366,2024-01-01,South,OnlineShop,46.97,0
200432,U2374,2024-01-01,North,RideShare,152.19,0
200433,U2303,2024-01-01,North,StoreB,5,0
200434,U2463,2024-01-01,North,OnlineShop,103.66,0
200435,U2154,2024-01-01,East,OnlineShop,53.88,0
200436,U2323,2024-01-01,East,OnlineShop,72.26,0
200437,U2296,2024-01-01,East,Pharmacy,86.6,0
200438,U2430,2024-01-01,South,StoreA,95.31,0
200439,U2310,2024-01-01,South,Electronics,96.06,0
200440,U2053,2024-01-01,West,Electronics,119.83,0
200441,U2161,2024-01-01,East,CafeX,86.68,0
200442,U2443,2024-01-01,North,Grocery,115.07,0
200443,U2003,2024-01-01,North,TravelCo,5,0
200444,U2268,2024-01-01,North,Pharmacy,77.96,0
200445,U2404,2024-01-01,North,StoreA,75.44,0
200446,U2089,2024-01-01,West,RideShare,34.97,0
200447,U2233,2024-01-01,East,Grocery,138.99,0
200448,U2234,2024-01-01,East,CafeX,57.46,0
200449,U2141,2024-01-01,East,TravelCo,101.11,0
200450,U2438,2024-01-01,East,Electronics,126.14,0
200451,U2417,2024-01-01,North,TravelCo,5,0
200452,U2245,2024-01-01,North,Electronics,9.0,0
200453,U2232,2024-01-01,East,Grocery,67.41,0
200454,U2480,2024-01-01,North,StoreA,72.48,0
200455,U2101,2024-01-01,West,RideShare,93.73,0
200456,U2029,2024-01-01,South,StoreA,33.66,0
200457,U2090,2024-01-01,North,Pharmacy,93.89,0
200458,U2408,2024-01-01,South,Grocery,33.28,0
200459,U2273,2024-01-01,West,Grocery,77.85,0
200460,U2097,2024-01-01,North,StoreA,5,0
200461,U2073,2024-01-01,East,OnlineShop,50.75,0
200462,U2078,2024-01-01,West,TravelCo,87.16,0
200463,U2210,2024-01-01,East,CafeX,5,0
200464,U2139,2024-01-01,East,StoreB,116.19,0
200465,U2433,2024-01-01,West,TravelCo,5,0
200466,U2431,2024-01-01,North,TravelCo,71.02,0
200467,U2440,2024-01-01,West,Pharmacy,5,0
200468,U2069,2024-01-01,West,Electronics,150.6,0
200469,U2331,2024-01-01,South,Electronics,99.3,0
200470,U2254,2024-01-01,West,TravelCo,9.86,0
200471,U2368,2024-01-01,East,Electronics,103.09,0
200472,U2046,2024-01-01,West,OnlineShop,150.25,0
200473,U2479,2024-01-01,West,StoreA,13.78,0
200474,U2210,2024-01-01,East,Electronics,93.63,0
200475,U2387,2024-01-01,West,Grocery,144.2,0
200476,U2331,2024-01-01,North,Grocery,115.32,0
200477,U2241,2024-01-01,West,OnlineShop,98.79,0
200478,U2110,2024-01-01,North,Grocery,73.59,0
200479,U2059,2024-01-01,West,TravelCo,76.84,0
200480,U2410,2024-01-01,South,StoreA,151.3,0
200481,U2144,2024-01-01,North,Electronics,149.32,0
200482,U2429,2024-01-01,East,Pharmacy,74.46,0
200483,U2161,2024-01-01,North,Grocery,79.97,0
200484,U2463,2024-01-01,South,OnlineShop,126.03,0
200485,U2393,2024-01-01,West,CafeX,180.02,0
200486,U2400,2024-01-01,South,StoreA,116.31,0
200487,U2229,2024-01-01,North,TravelCo,959.48,0
200488,U2093,2024-01-01,South,StoreA,33.49,0
200489,U2427,2024-01-01,South,RideShare,131.23,0
200490,U2333,2024-01-01,North,Pharmacy,5,0
200491,U2197,2024-01-01,North,TravelCo,139.93,0
200492,U2060,2024-01-01,South,Grocery,14.81,0
200493,U2257,2024-01-01,West,Electronics,102.1,0
200494,U2380,2024-01-01,East,Grocery,66.87,0
200495,U2420,2024-01-01,East,StoreB,52.39,0
200496,U2485,2024-01-01,East,TravelCo,84.64,0
200497,U2262,2024-01-01,North,Electronics,82.59,0
200498,U2204,2024-01-01,North,StoreA,115.57,0
200499,U2398,2024-01-01,North,StoreB,46.21,0
200500,U2153,2024-01-01,East,Electronics,121.13,0
200501,U2242,2024-01-01,West,Electronics,52.49,0
200502,U2024,2024-01-01,West,Electronics,63.01,0
200503,U2376,2024-01-01,North,CafeX,96.53,0
200504,U2445,2024-01-01,East,RideShare,62.45,0
200505,U2148,2024-01-01,East,TravelCo,5,0
200506,U2284,2024-01-01,North,Electronics,63.41,0
200507,U2178,2024-01-01,East,Electronics,5,0
200508,U2099,2024-01-01,South,RideShare,72.6,0
200509,U2378,2024-01-01,East,TravelCo,109.16,0
